Front,Back,__CardTemplates,__CreateTimeUTC,__ModifiedTimeUTC
Definition of Community Medicine,A WHO technical committee (1972) defined community medicine as a system of delivery of comprehensive health care to the people by a health team in order to improve the health of the community.,,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
■ Comprehensive Health care,"Provision of integrated preventive, promotive, curative and rehabilitative care to the people from womb to the tomb to every individual residing in a defined geographic area.",,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
Definition of Health,"Health is a state of complete physical, mental, social & spiritual well being and not merely_an_absence of diseases or infirmity to lead a socially and economically productive life",,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
■ Positive Health,"The state of positive health implies the notion of ""perfect functioning"" of the body and mind.",,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
■ Physical quality of life index (PQLI),Definition: PQLI means physical quality of life index. It is an index for measuring quality of life of a nation.,,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
2. Epidemiological triad,"The causative factors of diseases may be classified as Agent, Host & Environment. Those three factor are referred to a epidemiological triad.",,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
■ Disease agent,"Definition : The diseases agent is defined as a substance, living or non living or a force, tangible on intangible, the excessive presence or relative lack of which may initiate or perpetuate of diseases process.",,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
Host,"Definition- A person or other animal including birds and arthropods, that affords subsistence or lodgment to an infectious agent under natural condition.",,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
Risk Factors,"Definition- The term ""risk factor"" is used with at least two meanings-
a. an attribute or exposure that is significantly associated with the development of a diseases
b. a determinant that can be modified by intervention, thereby reducing the possibility of occurrence of diseases or other specified outcomes.",,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
Community diagnosis,L The community diagnosis may be defined as the pattern of diseases in a community described in terms of the important factors which influence this pattern.,,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
Community treatment,"Community treatment or community health action is the sum of steps decided upon to meet the health needs of the community taking into account the resources available and the wishes of the people, as revealed by community diagnosis.",,2026-06-04T18:56:41.0000000Z,2026-06-04T18:56:41.0000000Z
