Front,Back,__CardTemplates,__CreateTimeUTC,__ModifiedTimeUTC
HISTOPATHOLOGY,REFERS TO THE MICROSCOPIC EXAMINATION OF BIOPSY OR SURGICAL SPECIMEN (TISSUE) IN ORDER TO STUDY THE DISEASE.,,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Biopsy,The removal of tissue or cells for analysis is called biopsy.,,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Cytopathology,Diagnosing diseases by studying morphology of the cell particularly the nuclear morphology is called cytology.,,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
FNAC,"Collection/aspiration from any nodule, tumor mass, cyst abscess, cavity either external or internal organs by introducing a needle fitted with a syringe &amp; applying negative suction.",,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Immunohistochemistry,is a common laboratory technique that is used to detect antigen or cancer cells by use of a specific primary antibody that binds to it.,,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Cellular Adaptations,"adaptations are reversible changes in size, no, phenotype, metabolic activity or functions of cells in respons to changes in environment",,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Hypertrophy,"Hypertrophy refers to an increase in the size of cells, that results in an increase in the size of the affected organ or tissue.",,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Hyperplasia,"Hyperplasia is defined as an increase in the number of cells in an organ or tissue, that results in an increase in the size of the affected organ or tissue.",,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Atrophy,It may be defined as reduction in the size of an organ or tissue due to a decrease in cell size and number.,,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Metaplasia,It is a reversible change in which one differentiated (adult) cell type (epithelial or mesenchymal) is replaced by another cell type.,,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Cell Injury,"If the limits of adaptive responses are exceeded or if cells are exposed to injurious agents or stress, deprived of essential nutrients, or become compromised by mutation that affect essential cellular constituents, a sequence of events follows that is termed cell injury.",,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Necrosis,"Necrosis refers to a spectrum of morphologic changes that follow cell death in living tissue, largely resulting from progressive degradative action of enzymes on lethally injured cell.",,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Apoptosis,"Apoptosis is a pathway of cell death that is induced by tightly regulated suicide program in which cells destined to die activate enzymes that degrade cells own nuclear DNA, nuclear &amp; cytoplasmic protein.",,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Repair/Healing,It may be defined as the restoration of the tissue architecture and function after an injury.,,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Regeneration,replacement of damaged tissue by same type of cells.,,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Scar formation,"Replacement of damaged tissue by collagen deposition, fibrous tissue proliferation -&gt; scar formation.",,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Angiogenesis,It may be defined as the process of formation and maturation of new blood vessels which supply nutrients and oxygen.,,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Inflammation,"It is a response of vascularized tissues to infections and damaged tissues that brings cells and molecules of host defense from the circulation to the sites where they are needed, in order to eliminate the offending agents.",,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Acute Inflammation,Acute inflammation is a rapid response to an injurious agent which has shorter duration and serves to deliver mediators of host defense—leukocytes and plasma proteins to the site of injury.,,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Chemotaxis,Chemotaxis is defined as locomotion oriented along a chemical gradient.,,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Chemical mediators,These are the substances that initiate and regulate inflammatory reactions.,,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Vasoactive amines,These are the preformed chemical mediators that have important actions on blood vessels.,,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Abscess,"It is a focal, localized collection of purulent inflammatory tissue caused by suppuration buried in tissue, an organ or confined space.",,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Ulcers,It is a local defect of the surface of a tissue or organ caused by sloughing/shedding of inflammatory or necrotic tissue.,,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Chronic inflammation,"It is an inflammation of prolonged duration (weeks or months) in which inflammation, tissue injury and attempts to repair coexist, in varying combination.",,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Granulomatous inflammation,"It is a form of chronic inflammation characterized by collections of activated macrophages, often with T lymphocytes, and sometimes associated with central necrosis.",,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Granuloma,"It is a focus of chronic inflammation composed of microscopic aggregation of modified macrophages (activated macrophages) that are transformed into epithelium like cells (epithelioid cells), surrounded by a collar of mononuclear leukocytes, principally lymphocytes and occasionally plasma cells.",,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
OEDEMA,Accumulation of increased fluid in the interstitial tissue spaces or body cavities.,,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Hyperemia,Hyperemia is an active process in which arteriolar dilation leads to increased blood flow.,,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Congestion,Congestion is a passive process resulting from reduced outflow of blood from a tissue.,,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Thrombosis,Formation of a clotted mass of blood within non interrupted cardiovascular system from the constituents of streaming blood.,,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Hypercoagulability,Refers to abnormally high tendency of Blood to clot typically caused By alteration in coagulation factor,,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
EMBOLISM,"An embolus is a detached intravascular solid, liquid or gaseous mass that is carried by the blood to a site distant from its point of origin.",,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
INFARCTION,An infarct is an area of ischaemic necrosis within a tissue or organ produced due to occlusion of either arterial supply or venous drainage.,,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
Shock,Shock is a state of widespread hypoperfusion of tissues due to reduction in blood volume or cardiac output (CO) or redistribution of blood resulting in inadequate effective circulating volume.,,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
DIC (Disseminated Intravascular Coagulation),"...is an acute, subacute, or chronic thrombohemorrhagic disorder characterized by the excessive activation of coagulation, which leads to the formation of thrombi in the microvasculature of the body.",,2026-06-02T19:08:34.0000000Z,2026-06-04T19:08:31.0000000Z
