Front,Back,__CardTemplates,__CreateTimeUTC,__ModifiedTimeUTC
Haemopoiesis,Formation and maturation of blood cells.,,2026-06-03T19:32:10.0000000Z,2026-06-03T19:32:10.0000000Z
Erythropoiesis,Formation and maturation of red cells..,,2026-06-03T19:32:10.0000000Z,2026-06-03T19:32:10.0000000Z
Anaemia,"Anemia is present when the hemoglobin level in the blood is below the lower extreme of the normal range for the age and sex of the individual.
*.",,2026-06-03T19:32:10.0000000Z,2026-06-03T19:32:10.0000000Z
Peripheral Blood Film (PBF),"**Definition:** A film is prepared from a drop of peripheral blood on a slide and the film is stained with a Romanowsky's stain (e.g., Leishman stain).",,2026-06-03T19:32:10.0000000Z,2026-06-03T19:32:10.0000000Z
Erythrocyte Sedimentation Rate (ESR),"Erythrocyte sedimentation rate (ESR) is a non-specific test for inflammation.
Measurement of inflammation.
Easy to perform and widely available.",,2026-06-03T19:32:10.0000000Z,2026-06-03T19:32:10.0000000Z
Microcytic Hypochromic Anaemia,**Definition:** It is a morphological type of anaemia in which red cell indices are reduced and characterized by the presence of microcytic hypochromic red cells in the peripheral blood film.,,2026-06-03T19:32:10.0000000Z,2026-06-03T19:32:10.0000000Z
Macrocytic Anaemia,**Definition:** It is the morphological type of anaemia in which the MCV is found above the upper limit of normal (>approx. 96 fl) and the peripheral blood film shows macrocytosis of red cells.,,2026-06-03T19:32:10.0000000Z,2026-06-03T19:32:10.0000000Z
Megaloblastic Macrocytic Anaemia,"**Definition:** The megaloblastic macrocytic anaemias are characterized by the presence of macrocytes in the peripheral blood and megaloblastic erythropoiesis in the bone marrow (BM) due to impaired DNA synthesis caused by the deficiency of B group vitamins, either vitamin B12 or folic acid.",,2026-06-03T19:32:10.0000000Z,2026-06-03T19:32:10.0000000Z
Pancytopenia,"**Definition:** Pancytopenia is the simultaneous presence of anaemia (Male 13 g/dl, Female 11.5 gm/dl), Leucopenia (4\times10^{9}/L) & Thrombocytopenia (150\times10^{9}/L).",,2026-06-03T19:32:10.0000000Z,2026-06-03T19:32:10.0000000Z
Aplastic Anaemia,"**Definition:** Aplastic anaemia is a disorder of unknown aetiology characterized by the simultaneous presence of anaemia, leucopenia and thrombocytopenia resulting from aplasia of the bone marrow.",,2026-06-03T19:32:10.0000000Z,2026-06-03T19:32:10.0000000Z
Thalassemia,**Definition:** The Thalassemias are a heterogenous group of genetic disorders that result from a reduced rate of synthesis of one or more types of normal hemoglobin polypeptide chains.,,2026-06-03T19:32:10.0000000Z,2026-06-03T19:32:10.0000000Z
Hemolytic Anaemia,**Definition:** The hemolytic anaemias are a heterogeneous group of disorders characterized by increased RBC destruction with shortening of the life span of RBC usually less than 120 days while the bone marrow is compensating for hemolysis by increased erythropoiesis.,,2026-06-03T19:32:10.0000000Z,2026-06-03T19:32:10.0000000Z
Paraprotein,It is a monoclonal protein which reflects the synthesis of Ig from a single clone of plasma cells.,,2026-06-03T19:32:10.0000000Z,2026-06-03T19:32:10.0000000Z
Multiple Myeloma Tumor,"**Definition:** It is a chronic, progressive and fatal malignant neoplastic disorders characterized by accumulation of plasma cells in the bone marrow, (and often other body tissue) the presence of monoclonal protein in the serum and/or urine and in symptomatic patients, related tissue damage.",,2026-06-03T19:32:10.0000000Z,2026-06-03T19:32:10.0000000Z
Bence Jones protein,"It is free monoclonal κ or λ light chain in urine found in 50% - 70% cases of multiple myeloma patients.
* **",,2026-06-03T19:32:10.0000000Z,2026-06-03T19:32:10.0000000Z
Haemorrhagic disorder,**Definition:** Group of disorders characterized by an abnormal tendency to bleed due to defect in the mechanism of haemostasis.,,2026-06-03T19:32:10.0000000Z,2026-06-03T19:32:10.0000000Z
ITP,"**Definition:** It is a bleeding disorder in which auto ab is produced against platelet which causes destruction of platelet, that is necessary for normal blood clotting.",,2026-06-03T19:32:10.0000000Z,2026-06-03T19:32:10.0000000Z
Leukaemia,"DEFINITION:is a malignant neoplastic disorder characterised by -
 1. Abnormal proliferation of Haemopoitic cells -
 2. Progressive increase infiltration in Bone marrow.
 3. usually presence of leukemic cells in PB blood: Peripheral Blood
And
Gradually infiltrating other Tissue (Liver/spleen / L.N other lymphatic tissue)",,2026-06-03T19:32:10.0000000Z,2026-06-03T19:32:10.0000000Z
Subleukaemic leukaemia,It is the condition when the total count of WBC in the PBF is not increased but the bone marrow shows a picture of leukaemia.,,2026-06-03T19:32:10.0000000Z,2026-06-03T19:32:10.0000000Z
